"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","321,062","19,608","259,874","14,327","26,299","954"
"18-29","92,077","8,975","28,565","752","8,604","45,181"
"30-39","132,341","9,517","28,705","598","7,203","86,318"
"40-49","153,958","8,386","15,964","254","3,830","125,524"
"50-59","115,113","5,584","7,335","122","1,908","100,164"
"60-69","60,417","2,905","2,851","47","796","53,818"
"70-79","21,911","1,306","1,059","11","205","19,330"
"80+","8,388","555","559","18","141","7,115"
